,Price,Time
0,1.18427,13:06:08
1,1.18426,13:06:08
2,1.18427,13:06:08
3,1.18425,13:06:08
4,1.18424,13:06:08
5,1.18425,13:06:08
6,1.18424,13:06:08
7,1.18425,13:06:08
8,1.18424,13:06:08
9,1.18425,13:06:08
10,1.18426,13:06:08
11,1.18425,13:06:08
12,1.18426,13:06:08
13,1.18424,13:06:08
14,1.18423,13:06:09
15,1.18421,13:06:09
16,1.18422,13:06:09
17,1.18423,13:06:09
18,1.18424,13:06:09
19,1.18423,13:06:09
20,1.18422,13:06:09
21,1.18423,13:06:09
22,1.18422,13:06:09
23,1.18423,13:06:09
24,1.18422,13:06:09
25,1.18421,13:06:09
26,1.18422,13:06:09
27,1.18423,13:06:09
28,1.18424,13:06:09
29,1.18425,13:06:09
30,1.18424,13:06:09
31,1.18425,13:06:09
32,1.18424,13:06:09
33,1.18425,13:06:09
34,1.18421,13:06:09
35,1.18423,13:06:09
36,1.18424,13:06:09
37,1.18423,13:06:09
38,1.18425,13:06:09
39,1.18426,13:06:09
40,1.18424,13:06:09
41,1.18423,13:06:10
42,1.18424,13:06:10
43,1.18423,13:06:10
44,1.18424,13:06:11
45,1.18425,13:06:12
46,1.18424,13:06:12
47,1.18425,13:06:12
48,1.18424,13:06:12
49,1.18425,13:06:12
50,1.18424,13:06:12
51,1.18426,13:06:12
52,1.18425,13:06:12
53,1.18426,13:06:12
54,1.18425,13:06:12
55,1.18424,13:06:12
56,1.18425,13:06:13
57,1.18426,13:06:16
58,1.18425,13:06:16
59,1.18424,13:06:19
60,1.18423,13:06:19
61,1.18424,13:06:19
62,1.18423,13:06:19
63,1.18422,13:06:19
64,1.18423,13:06:19
65,1.18424,13:06:19
66,1.18423,13:06:19
67,1.18424,13:06:19
68,1.18425,13:06:20
69,1.18424,13:06:20
70,1.18425,13:06:20
71,1.18424,13:06:20
72,1.18425,13:06:20
73,1.18425,13:06:21
74,1.18424,13:06:21
75,1.18425,13:06:21
76,1.18424,13:06:21
77,1.18424,13:06:21
78,1.18424,13:06:21
79,1.18424,13:06:21
80,1.18422,13:06:21
81,1.18423,13:06:21
82,1.18424,13:06:22
83,1.18425,13:06:22
84,1.18422,13:06:25
85,1.18424,13:06:25
86,1.18422,13:06:25
87,1.18424,13:06:25
88,1.18425,13:06:26
89,1.18423,13:06:26
90,1.18424,13:06:26
91,1.18423,13:06:26
92,1.18424,13:06:26
93,1.18423,13:06:27
94,1.18424,13:06:27
95,1.18423,13:06:27
96,1.18422,13:06:27
97,1.18423,13:06:27
98,1.18422,13:06:27
99,1.18421,13:06:27
100,1.18422,13:06:27
101,1.18421,13:06:27
102,1.18420,13:06:27
103,1.18419,13:06:27
104,1.18420,13:06:27
105,1.18421,13:06:27
106,1.18419,13:06:27
107,1.18420,13:06:27
108,1.18421,13:06:28
109,1.18420,13:06:28
110,1.18419,13:06:28
111,1.18420,13:06:28
112,1.18418,13:06:28
113,1.18420,13:06:28
114,1.18419,13:06:28
115,1.18418,13:06:28
116,1.18419,13:06:28
117,1.18418,13:06:28
118,1.18417,13:06:28
119,1.18418,13:06:29
120,1.18417,13:06:29
121,1.18418,13:06:29
122,1.18419,13:06:29
123,1.18418,13:06:29
124,1.18419,13:06:30
125,1.18421,13:06:30
126,1.18419,13:06:30
127,1.18420,13:06:30
128,1.18421,13:06:30
129,1.18420,13:06:31
130,1.18421,13:06:31
131,1.18420,13:06:33
132,1.18421,13:06:33
133,1.18422,13:06:33
134,1.18423,13:06:33
135,1.18424,13:06:33
136,1.18423,13:06:33
137,1.18424,13:06:33
138,1.18425,13:06:33
139,1.18424,13:06:33
140,1.18425,13:06:33
141,1.18426,13:06:33
142,1.18428,13:06:33
143,1.18429,13:06:33
144,1.18430,13:06:33
145,1.18429,13:06:33
146,1.18430,13:06:33
147,1.18431,13:06:33
148,1.18430,13:06:34
149,1.18431,13:06:34
150,1.18428,13:06:34
151,1.18429,13:06:34
152,1.18432,13:06:34
153,1.18433,13:06:34
154,1.18434,13:06:34
155,1.18435,13:06:34
156,1.18434,13:06:34
157,1.18435,13:06:34
158,1.18434,13:06:34
159,1.18433,13:06:34
160,1.18431,13:06:34
161,1.18432,13:06:34
162,1.18430,13:06:34
163,1.18431,13:06:34
164,1.18432,13:06:34
165,1.18431,13:06:34
166,1.18432,13:06:34
167,1.18431,13:06:34
168,1.18432,13:06:35
169,1.18431,13:06:37
170,1.18432,13:06:38
171,1.18433,13:06:41
172,1.18432,13:06:42
173,1.18433,13:06:42
174,1.18434,13:06:42
175,1.18435,13:06:42
176,1.18436,13:06:42
177,1.18435,13:06:42
178,1.18437,13:06:42
179,1.18436,13:06:42
180,1.18435,13:06:42
181,1.18436,13:06:44
182,1.18437,13:06:44
183,1.18436,13:06:44
184,1.18437,13:06:44
185,1.18436,13:06:44
186,1.18438,13:06:44
187,1.18440,13:06:44
188,1.18441,13:06:45
189,1.18442,13:06:45
190,1.18443,13:06:45
191,1.18442,13:06:45
192,1.18443,13:06:45
193,1.18444,13:06:45
194,1.18443,13:06:45
195,1.18446,13:06:45
196,1.18443,13:06:45
197,1.18444,13:06:45
198,1.18445,13:06:45
199,1.18444,13:06:45
200,1.18443,13:06:45
201,1.18442,13:06:46
202,1.18443,13:06:46
203,1.18444,13:06:46
204,1.18443,13:06:46
205,1.18444,13:06:46
206,1.18445,13:06:46
207,1.18444,13:06:46
208,1.18443,13:06:47
209,1.18442,13:06:47
210,1.18443,13:06:48
211,1.18442,13:06:49
212,1.18440,13:06:50
213,1.18439,13:06:50
214,1.18440,13:06:50
215,1.18439,13:06:50
216,1.18438,13:06:50
217,1.18437,13:06:50
218,1.18438,13:06:50
219,1.18439,13:06:50
220,1.18435,13:06:50
221,1.18438,13:06:50
222,1.18439,13:06:50
223,1.18438,13:06:50
224,1.18439,13:06:50
225,1.18437,13:06:50
226,1.18438,13:06:50
227,1.18439,13:06:50
228,1.18437,13:06:50
229,1.18436,13:06:51
230,1.18435,13:06:51
231,1.18436,13:06:51
232,1.18436,13:06:53
233,1.18439,13:06:53
234,1.18440,13:06:53
235,1.18442,13:06:53
236,1.18444,13:06:53
237,1.18445,13:06:53
238,1.18446,13:06:53
239,1.18445,13:06:53
240,1.18444,13:06:53
241,1.18442,13:06:53
242,1.18445,13:06:53
243,1.18444,13:06:53
244,1.18445,13:06:53
245,1.18442,13:06:53
246,1.18443,13:06:53
247,1.18444,13:06:53
248,1.18445,13:06:53
249,1.18444,13:06:53
250,1.18443,13:06:53
251,1.18444,13:06:53
252,1.18445,13:06:53
253,1.18442,13:06:53
254,1.18441,13:06:53
255,1.18442,13:06:53
256,1.18444,13:06:56
257,1.18443,13:06:56
258,1.18442,13:06:56
259,1.18441,13:06:56
260,1.18440,13:06:56
261,1.18438,13:06:57
262,1.18439,13:06:57
263,1.18438,13:06:58
264,1.18440,13:06:58
265,1.18438,13:06:58
266,1.18440,13:06:58
267,1.18444,13:06:58
268,1.18440,13:06:58
269,1.18441,13:06:58
270,1.18442,13:06:58
271,1.18441,13:06:58
272,1.18443,13:06:58
273,1.18442,13:06:58
274,1.18441,13:06:58
275,1.18442,13:06:58
276,1.18441,13:06:58
277,1.18442,13:06:58
278,1.18441,13:06:58
279,1.18440,13:06:58
280,1.18441,13:06:58
281,1.18438,13:06:58
282,1.18440,13:06:58
283,1.18438,13:06:58
284,1.18440,13:06:58
285,1.18438,13:06:58
286,1.18438,13:06:58
287,1.18438,13:06:58
288,1.18440,13:06:58
289,1.18439,13:06:58
290,1.18440,13:06:58
291,1.18444,13:06:58
292,1.18440,13:06:58
293,1.18441,13:06:58
294,1.18442,13:06:58
295,1.18441,13:06:58
296,1.18443,13:06:58
297,1.18442,13:06:58
298,1.18441,13:06:58
299,1.18442,13:06:58
300,1.18441,13:06:58
301,1.18442,13:06:58
302,1.18441,13:06:58
303,1.18440,13:06:58
304,1.18441,13:06:58
305,1.18439,13:06:58
306,1.18440,13:06:58
307,1.18439,13:06:58
308,1.18440,13:06:58
309,1.18439,13:06:58
310,1.18438,13:06:59
311,1.18439,13:06:59
312,1.18439,13:06:59
313,1.18440,13:06:59
314,1.18439,13:06:59
315,1.18438,13:07:00
316,1.18437,13:07:00
317,1.18438,13:07:00
318,1.18437,13:07:00
319,1.18438,13:07:00
320,1.18440,13:07:00
321,1.18441,13:07:00
322,1.18442,13:07:00
323,1.18442,13:07:00
324,1.18443,13:07:00
325,1.18445,13:07:00
326,1.18444,13:07:00
327,1.18443,13:07:00
328,1.18443,13:07:00
329,1.18445,13:07:01
330,1.18446,13:07:01
331,1.18448,13:07:01
332,1.18447,13:07:01
333,1.18448,13:07:01
334,1.18448,13:07:01
335,1.18448,13:07:01
336,1.18448,13:07:01
337,1.18447,13:07:01
338,1.18446,13:07:01
339,1.18447,13:07:01
340,1.18446,13:07:01
341,1.18447,13:07:01
342,1.18446,13:07:02
343,1.18447,13:07:02
344,1.18449,13:07:02
345,1.18448,13:07:02
346,1.18447,13:07:02
347,1.18448,13:07:02
348,1.18449,13:07:02
349,1.18451,13:07:02
350,1.18449,13:07:02
351,1.18448,13:07:02
352,1.18448,13:07:03
353,1.18448,13:07:03
354,1.18448,13:07:03
355,1.18450,13:07:03
356,1.18449,13:07:03
357,1.18450,13:07:03
358,1.18454,13:07:03
359,1.18455,13:07:03
360,1.18455,13:07:03
361,1.18456,13:07:03
362,1.18455,13:07:03
363,1.18454,13:07:03
364,1.18453,13:07:03
365,1.18452,13:07:03
366,1.18454,13:07:04
367,1.18454,13:07:04
368,1.18456,13:07:04
369,1.18455,13:07:04
370,1.18456,13:07:04
371,1.18458,13:07:04
372,1.18457,13:07:04
373,1.18455,13:07:04
374,1.18455,13:07:04
375,1.18454,13:07:04
376,1.18455,13:07:04
377,1.18447,13:07:04
378,1.18449,13:07:04
379,1.18448,13:07:04
380,1.18450,13:07:04
381,1.18451,13:07:04
382,1.13451,13:07:04
383,1.18448,13:07:04
384,1.18447,13:07:04
385,1.18448,13:07:04
386,1.18447,13:07:04
387,1.18448,13:07:04
388,1.18449,13:07:04
389,1.18450,13:07:04
390,1.18451,13:07:04
391,1.18452,13:07:04
392,1.18451,13:07:04
393,1.18450,13:07:04
394,1.18451,13:07:04
395,1.18450,13:07:04
396,1.18452,13:07:05
397,1.18452,13:07:06
398,1.18454,13:07:06
399,1.18455,13:07:06
400,1.18456,13:07:06
401,1.18458,13:07:07
402,1.18458,13:07:07
403,1.18458,13:07:07
404,1.18457,13:07:07
405,1.18458,13:07:07
406,1.18458,13:07:08
407,1.18457,13:07:08
408,1.18458,13:07:08
409,1.18457,13:07:08
410,1.18456,13:07:10
411,1.18457,13:07:11
412,1.18456,13:07:11
413,1.18457,13:07:11
414,1.18458,13:07:11
415,1.18457,13:07:11
416,1.18458,13:07:11
417,1.18457,13:07:11
418,1.18456,13:07:11
419,1.18457,13:07:12
420,1.18456,13:07:12
421,1.18457,13:07:12
422,1.18456,13:07:12
423,1.18455,13:07:12
424,1.18456,13:07:12
425,1.18457,13:07:15
426,1.18456,13:07:16
427,1.18457,13:07:16
428,1.18456,13:07:17
429,1.18457,13:07:17
430,1.18458,13:07:17
431,1.18459,13:07:17
432,1.18460,13:07:17
433,1.18459,13:07:17
434,1.18458,13:07:18
435,1.18457,13:07:18
436,1.18456,13:07:18
437,1.18457,13:07:18
438,1.18454,13:07:18
439,1.18455,13:07:18
440,1.18456,13:07:18
441,1.18455,13:07:18
442,1.18456,13:07:18
443,1.18455,13:07:18
444,1.18456,13:07:18
445,1.18455,13:07:18
446,1.18456,13:07:18
447,1.18455,13:07:18
448,1.18456,13:07:18
449,1.18453,13:07:18
450,1.18454,13:07:18
451,1.18455,13:07:18
452,1.18453,13:07:19
453,1.18454,13:07:19
454,1.18453,13:07:19
455,1.18454,13:07:19
456,1.18455,13:07:19
457,1.18456,13:07:19
458,1.18457,13:07:19
459,1.18458,13:07:19
460,1.18457,13:07:19
461,1.18459,13:07:20
462,1.18459,13:07:20
463,1.18459,13:07:20
464,1.18459,13:07:20
465,1.18459,13:07:20
466,1.18461,13:07:20
467,1.18461,13:07:20
468,1.18463,13:07:20
469,1.18466,13:07:21
470,1.18459,13:07:17
471,1.18460,13:07:17
472,1.18459,13:07:17
473,1.18458,13:07:18
474,1.18457,13:07:18
475,1.18456,13:07:18
476,1.18457,13:07:18
477,1.18454,13:07:18
478,1.18455,13:07:18
479,1.18456,13:07:18
480,1.18455,13:07:18
481,1.18456,13:07:18
482,1.18455,13:07:18
483,1.18456,13:07:18
484,1.18455,13:07:18
485,1.18456,13:07:18
486,1.18455,13:07:18
487,1.18456,13:07:18
488,1.18453,13:07:18
489,1.18454,13:07:18
490,1.18455,13:07:18
491,1.18453,13:07:19
492,1.18454,13:07:19
493,1.18453,13:07:19
494,1.18454,13:07:19
495,1.18455,13:07:19
496,1.18456,13:07:19
497,1.18457,13:07:19
498,1.18458,13:07:19
499,1.18457,13:07:19
500,1.18460,13:07:20
501,1.18459,13:07:20
502,1.18460,13:07:20
503,1.18459,13:07:20
504,1.18460,13:07:20
505,1.18459,13:07:20
506,1.18460,13:07:20
507,1.18459,13:07:20
508,1.18460,13:07:20
509,1.18462,13:07:20
510,1.18461,13:07:20
511,1.18462,13:07:20
512,1.18464,13:07:21
513,1.18465,13:07:21
514,1.18465,13:07:21
515,1.18465,13:07:21
516,1.18466,13:07:21
517,1.18467,13:07:21
518,1.18466,13:07:23
519,1.18463,13:07:23
520,1.18464,13:07:23
521,1.18462,13:07:23
522,1.18461,13:07:23
523,1.18462,13:07:23
524,1.18461,13:07:23
525,1.18460,13:07:24
526,1.18459,13:07:24
527,1.18460,13:07:24
528,1.18459,13:07:24
529,1.18458,13:07:24
530,1.18459,13:07:24
531,1.18458,13:07:25
532,1.18459,13:07:25
533,1.18457,13:07:25
534,1.18456,13:07:25
535,1.18458,13:07:25
536,1.18459,13:07:25
537,1.18460,13:07:25
538,1.18461,13:07:25
539,1.18460,13:07:25
540,1.18459,13:07:25
541,1.18460,13:07:25
542,1.18463,13:07:26
543,1.18462,13:07:26
544,1.18464,13:07:26
545,1.18463,13:07:26
546,1.18464,13:07:26
547,1.18464,13:07:26
548,1.18464,13:07:26
549,1.18464,13:07:26
550,1.18463,13:07:26
551,1.18462,13:07:26
552,1.18461,13:07:26
553,1.18461,13:07:26
554,1.18460,13:07:26
555,1.18461,13:07:26
556,1.18460,13:07:26
557,1.18459,13:07:26
558,1.18459,13:07:26
559,1.18459,13:07:26
560,1.18461,13:07:27
561,1.18461,13:07:29
562,1.18463,13:07:30
563,1.18462,13:07:30
564,1.18461,13:07:30
565,1.18460,13:07:30
566,1.18461,13:07:31
567,1.18460,13:07:31
568,1.18458,13:07:31
